FullName,DOB,Phone,Email,Address,Password,ConfirmPassword
Nguyen Van A,2000-01-01,0901112233,test1@example.com,"Quan 1, TP HCM",Password123,Password123
Tran Thi B,1998-05-15,0902223344,test2@example.com,"Quan 3, TP HCM",Password123,Password123
Le Van C,2004-10-10,0903334455,test3@example.com,"Quan 5, TP HCM",Password123,Password123
Pham Thi D,1995-02-28,0904445566,test4@example.com,"Quan 7, TP HCM",Password123,Password123
Hoang Van E,2001-12-31,0905556677,test5@example.com,"Thu Duc, TP HCM",Password123,Password123
Do Thi F,1990-05-05,0906667788,test6@example.com,"Binh Thanh, TP HCM",Password123,Password123
Bui Van G,1999-01-01,0907778899,test7@example.com,"Tan Binh, TP HCM",Password123,Password123
Vo Thi H,1999-02-02,0908889900,test8@example.com,"Go Vap, TP HCM",Password123,Password123
Dang Van I,1999-03-03,0910001122,test9@example.com,"Phu Nhuan, TP HCM",Password123,Password123
Mai Thi K,1999-04-04,0911112233,test10@example.com,"Quan 10, TP HCM",Password123,Password123
